"","E0","sim_start","int_start1","int_length2","sd_m1","sd_m2","int_start2","int_length1","beta0est","paramset","iso_start","log_lik","R0_base","R0_int"
"353",3,2020-02-08,2020-03-07,89,0.72099609375,0.060009765625,2020-03-17,10,1.20814891484515,353,2020-06-14,-27.3872623103847,3.77546535889109,0.226564791312361
"354",7,2020-02-22,2020-03-03,119,0.87099609375,0.185009765625,2020-03-17,14,1.53648201385908,354,2020-07-14,-24.7051937203576,4.80150629330963,0.888325553972176
"355",9,2020-02-02,2020-03-05,74,0.79599609375,0.122509765625,2020-03-17,12,0.837995339983387,355,2020-05-30,-27.580675985868,2.61873543744808,0.320820664675647
"356",5,2020-02-15,2020-03-10,104,0.64599609375,0.247509765625,2020-03-17,7,1.2625690842095,356,2020-06-29,-24.9905310013332,3.94552838815467,0.976556806618947
"357",6,2020-01-29,2020-03-02,82,0.75849609375,0.278759765625,2020-03-17,15,0.868768905435168,357,2020-06-07,-26.7351672445853,2.7149028294849,0.75680567644186
"358",9,2020-02-12,2020-03-06,112,0.60849609375,0.153759765625,2020-03-17,11,1.14314425361035,358,2020-07-07,-26.4884234397518,3.57232579253236,0.549279976595917
"359",8,2020-02-05,2020-03-08,67,0.68349609375,0.216259765625,2020-03-17,9,0.90070984506312,359,2020-05-23,-26.5966643474826,2.81471826582225,0.608710312467126
"360",4,2020-02-18,2020-03-04,97,0.83349609375,0.091259765625,2020-03-17,13,1.55311223138176,360,2020-06-22,-25.6919459022191,4.85347572306801,0.442927056953814
"361",5,2020-02-03,2020-03-09,108,0.88974609375,0.106884765625,2020-03-17,8,0.911963300226718,361,2020-07-03,-27.2109529975321,2.8498853132085,0.30460932376042
"362",8,2020-02-17,2020-03-04,78,0.73974609375,0.231884765625,2020-03-17,13,1.28711988700394,362,2020-06-03,-24.8930156256837,4.02224964688732,0.932698416653705
"363",10,2020-02-10,2020-03-02,93,0.66474609375,0.169384765625,2020-03-17,15,1.0670916441332,363,2020-06-18,-26.5584066837996,3.33466138791625,0.564840837630932
"364",6,2020-02-24,2020-03-07,63,0.81474609375,0.294384765625,2020-03-17,10,0.357426869791704,364,2020-05-19,-154.922571303556,1.11695896809908,0.328815704036588
"365",5,2020-02-07,2020-03-03,115,0.62724609375,0.263134765625,2020-03-17,14,1.12171966674943,365,2020-07-10,-26.0161246438734,3.50537395859196,0.922385755022074
